invoice_id,customer_id,invoice_date,billing_address,billing_city,billing_state,billing_country,billing_postal_code,total
1,18,2017-01-03 00:00:00,627 Broadway,New York,NY,USA,10012-2612,15.84
2,30,2017-01-03 00:00:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,9.9
3,40,2017-01-05 00:00:00,"8, Rue Hanovre",Paris,None,France,75002,1.98
4,18,2017-01-06 00:00:00,627 Broadway,New York,NY,USA,10012-2612,7.92
5,27,2017-01-07 00:00:00,1033 N Park Ave,Tucson,AZ,USA,85719,16.83
6,31,2017-01-10 00:00:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,1.98
7,49,2017-01-12 00:00:00,Ordynacka 10,Warsaw,None,Poland,00-358,10.89
8,59,2017-01-13 00:00:00,"3,Raj Bhavan Road",Bangalore,None,India,560001,9.9
9,18,2017-01-18 00:00:00,627 Broadway,New York,NY,USA,10012-2612,8.91
10,31,2017-01-18 00:00:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,1.98
11,38,2017-01-20 00:00:00,Barbarossastraße 19,Berlin,None,Germany,10779,10.89
12,42,2017-01-21 00:00:00,"9, Place Louis Barthou",Bordeaux,None,France,33000,3.96
13,35,2017-01-22 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,None,Portugal,None,0.99
14,25,2017-01-23 00:00:00,319 N. Frances Street,Madison,WI,USA,53703,0.99
15,44,2017-01-25 00:00:00,Porthaninkatu 9,Helsinki,None,Finland,00530,3.96
16,1,2017-01-26 00:00:00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,8.91
17,20,2017-01-28 00:00:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,10.89
18,24,2017-02-02 00:00:00,162 E Superior Street,Chicago,IL,USA,60611,4.95
19,10,2017-02-06 00:00:00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,6.93
20,43,2017-02-06 00:00:00,"68, Rue Jouvence",Dijon,None,France,21000,9.9
21,9,2017-02-07 00:00:00,Sønder Boulevard 51,Copenhagen,None,Denmark,1720,8.91
22,35,2017-02-08 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,None,Portugal,None,1.98
23,53,2017-02-09 00:00:00,113 Lupus St,London,None,United Kingdom,SW1V 3EN,9.9
24,4,2017-02-10 00:00:00,Ullevålsveien 14,Oslo,None,Norway,0171,11.879999999999999
25,39,2017-02-11 00:00:00,"4, Rue Milton",Paris,None,France,75009,7.92
26,55,2017-02-15 00:00:00,421 Bourke Street,Sidney,NSW,Australia,2010,1.98
27,35,2017-02-15 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,None,Portugal,None,7.92
28,12,2017-02-17 00:00:00,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,2.9699999999999998
29,45,2017-02-17 00:00:00,Erzsébet krt. 58.,Budapest,None,Hungary,H-1073,5.9399999999999995
30,46,2017-02-18 00:00:00,3 Chatham Street,Dublin,Dublin,Ireland,None,10.89
31,3,2017-02-21 00:00:00,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,19.8
32,30,2017-02-21 00:00:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,12.87
33,58,2017-02-21 00:00:00,"12,Community Centre",Delhi,None,India,110017,3.96
34,33,2017-02-23 00:00:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,0.99
35,34,2017-02-25 00:00:00,Rua da Assunção 53,Lisbon,None,Portugal,None,4.95
36,51,2017-02-27 00:00:00,Celsiusg. 9,Stockholm,None,Sweden,11230,6.93
37,59,2017-03-05 00:00:00,"3,Raj Bhavan Road",Bangalore,None,India,560001,9.9
38,49,2017-03-05 00:00:00,Ordynacka 10,Warsaw,None,Poland,00-358,6.93
39,39,2017-03-12 00:00:00,"4, Rue Milton",Paris,None,France,75009,7.92
40,37,2017-03-13 00:00:00,Berger Straße 10,Frankfurt,None,Germany,60316,9.9
41,50,2017-03-17 00:00:00,C/ San Bernardo 85,Madrid,None,Spain,28015,7.92
42,19,2017-03-18 00:00:00,1 Infinite Loop,Cupertino,CA,USA,95014,8.91
43,22,2017-03-19 00:00:00,120 S Orange Ave,Orlando,FL,USA,32801,6.93
44,21,2017-03-20 00:00:00,801 W 4th Street,Reno,NV,USA,89503,11.879999999999999
45,36,2017-03-24 00:00:00,Tauentzienstraße 8,Berlin,None,Germany,10789,7.92
46,4,2017-03-24 00:00:00,Ullevålsveien 14,Oslo,None,Norway,0171,10.89
47,57,2017-03-25 00:00:00,"Calle Lira, 198",Santiago,None,Chile,None,5.9399999999999995
48,44,2017-03-28 00:00:00,Porthaninkatu 9,Helsinki,None,Finland,00530,3.96
49,10,2017-03-30 00:00:00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,4.95
50,18,2017-04-02 00:00:00,627 Broadway,New York,NY,USA,10012-2612,6.93
51,19,2017-04-03 00:00:00,1 Infinite Loop,Cupertino,CA,USA,95014,7.92
52,19,2017-04-11 00:00:00,1 Infinite Loop,Cupertino,CA,USA,95014,11.879999999999999
53,43,2017-04-12 00:00:00,"68, Rue Jouvence",Dijon,None,France,21000,2.9699999999999998
54,26,2017-04-13 00:00:00,2211 W Berry Street,Fort Worth,TX,USA,76110,17.82
55,33,2017-04-16 00:00:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,9.9
56,34,2017-04-22 00:00:00,Rua da Assunção 53,Lisbon,None,Portugal,None,16.83
57,19,2017-04-22 00:00:00,1 Infinite Loop,Cupertino,CA,USA,95014,0.99
58,9,2017-04-23 00:00:00,Sønder Boulevard 51,Copenhagen,None,Denmark,1720,5.9399999999999995
59,38,2017-04-24 00:00:00,Barbarossastraße 19,Berlin,None,Germany,10779,10.89
